shots	numstab	fidelity_error
1084	517	0.032200769200083225
1084	813	0.03295086160300194
1084	1277	0.03241083151298985
1084	2005	0.02947212538926766
1084	3150	0.027942196099284163
1084	4949	0.02871540909856831
1084	7775	0.02741465564799454
1084	12215	0.027821694722920978
1656	9	0.09390093452019853
1656	14	0.0894121511323637
1656	22	0.074974087852225
1656	35	0.05263158829655515
1656	54	0.04185495280785021
1656	85	0.04360011442094445
1656	133	0.03772856811584964
1656	210	0.036308111767837055
1656	329	0.03145157615402935
1656	517	0.03115835740957964
1656	813	0.027815987184049804
1656	1277	0.030479175278607412
1656	2005	0.02700651940123367
1656	3150	0.024974092933584515
1656	4949	0.02533333933311114
1656	7775	0.025374546361761664
1656	12215	0.02441371688788961
2528	9	0.09049919379360892
2528	14	0.07709500050412313
2528	22	0.05815194396483258
2528	35	0.047667216741554115
2528	54	0.04827346022465911
2528	85	0.03744010523742179
2528	133	0.03231231335097909
2528	210	0.03173617179601483
2528	329	0.02841374740651782
2528	517	0.025301911587550425
2528	813	0.026246674877296174
2528	1277	0.02054073602520025
2528	2005	0.021011514171677785
2528	3150	0.019432730982366846
2528	4949	0.019120824063783223
2528	7775	0.019684004694779204
2528	12215	0.018990817081724762
3860	9	0.09901029048795294
3860	14	0.06994889797385384
3860	22	0.07425509382859367
3860	35	0.04840486511295931
3860	54	0.03921677275168345
3860	85	0.04142663476770315
3860	133	0.038497404543931975
3860	210	0.029439331300044516
3860	329	0.02272646246420412
3860	517	0.022125284015338843
3860	813	0.024699195609833625
3860	1277	0.020924977512953247
3860	2005	0.021109471136336738
3860	3150	0.0199227431131227
3860	4949	0.020327244542562278
3860	7775	0.01963044935278875
3860	12215	0.01995875592144578
5894	9	0.09561334661862066
5894	14	0.09004379846758419
5894	22	0.05957968527693528
5894	35	0.0516873959275756
5894	54	0.03919067402673133
5894	85	0.03561905800728379
5894	133	0.02965612852770919
5894	210	0.02744628935940785
5894	329	0.025188947020720866
5894	517	0.023716078450690403
5894	813	0.022616826816440647
5894	1277	0.02222343528339179
5894	2005	0.01800507929516725
5894	3150	0.016583628184059583
5894	4949	0.017265635399109847
5894	7775	0.01732074030882825
5894	12215	0.015759687414372312
8996	9	0.08998454390936862
8996	14	0.0682589073834564
8996	22	0.05880463875144256
8996	35	0.05466492244027873
8996	54	0.03467135515258525
8996	85	0.0315076584397036
8996	133	0.028786039005782752
8996	210	0.023145422047632234
8996	329	0.021702188174228358
8996	517	0.016370152644679767
8996	813	0.015933615126641452
8996	1277	0.013978818993716556
8996	2005	0.013384671512158981
8996	3150	0.01299541530882247
