shots	numstab	fidelity_error
48840	3150	0.0018477488862173957
48840	4949	0.0016467951204782068
48840	7775	0.0016468896179199302
48840	12215	0.001540582577100954
74550	9	0.010305416875934571
74550	14	0.008813216695997054
74550	22	0.006865171118408544
74550	35	0.005985782768741688
74550	54	0.004529931166213141
74550	85	0.004121678969183171
74550	133	0.0030511473825561896
74550	210	0.0019192449723571209
74550	329	0.0020774394777963757
74550	517	0.0015770027851361459
74550	813	0.0017549343020845528
74550	1277	0.0016761759862523025
74550	2005	0.0016272713911639801
74550	3150	0.0014705466273355493
74550	4949	0.0015689698452518632
74550	7775	0.0014701247721855353
74550	12215	0.0014097242850682468
113796	9	0.00848307709838178
113796	14	0.008643184804255978
113796	22	0.00778210398015279
113796	35	0.005363249998599669
113796	54	0.004620912485275024
113796	85	0.004232745570762905
113796	133	0.003595339707579328
113796	210	0.001968489522011729
113796	329	0.002351748523957164
113796	517	0.0020195283622761835
113796	813	0.0016103459050833806
113796	1277	0.0016018426052885684
113796	2005	0.0012637241495272065
113796	3150	0.001369416201260694
113796	4949	0.0010510700358260482
113796	7775	0.0011813123652723604
113796	12215	0.0012394861849200699
173702	9	0.01264532589493118
173702	14	0.007703002689070201
173702	22	0.006968914369321451
173702	35	0.006167553773442579
173702	54	0.004500045726222254
173702	85	0.00307957366748376
173702	133	0.0025533379838013045
173702	210	0.0028283618639233176
173702	329	0.0022477976513449226
173702	517	0.0015951155511403266
173702	813	0.0014383339100278827
173702	1277	0.0011271072875835562
173702	2005	0.0010145566875051852
173702	3150	0.0010332249340436076
173702	4949	0.000868391791004699
173702	7775	0.0008393925546417118
173702	12215	0.0008519451307494229
